0 19.8477
1 19.8867
2 19.5742
3 20.0273
4 19.832
5 20.207
6 20.2188
7 20.3984
8 20.1367
9 20.0703
10 20.1992
11 20.4023
12 20.1094
13 20.7148
14 20.0664
15 20.1523
16 20.3711
17 20.5859
18 20.6016
19 20.6094
20 20.5703
21 20.6289
22 20.6367
23 20.9844
24 21.0703
25 20.9688
26 21.7383
27 21.8438
28 21.8555
29 22.3242
30 22.6914
31 23.0547
32 23.168
33 23.7188
34 23.5156
35 24.0859
36 24.0898
37 24.6016
38 24.5742
39 25.0469
40 25.6289
41 26.0195
42 26.1836
43 26.3633
44 26.7812
45 28.957
46 28.5898
47 29.1836
48 29.1484
49 29.4805
50 30.3555
51 31.2695
52 32.0781
53 32.2422
54 33.0547
55 33.6367
56 33.9688
57 35.0352
58 35.6445
59 37.3711
60 36.3516
61 35.9141
62 35.5117
63 34.5664
64 33.7734
65 32.1328
66 31.0977
67 30.3047
68 29.0508
69 27.9609
