0 62.38
1 74.00
2 84.00
3 82.00
4 76.00
5 74.00
6 79.00
7 71.00
8 83.00
9 79.00
10 75.00
11 88.00
12 85.00
13 87.00
14 87.00
15 85.00
16 86.00
17 85.00
18 85.00
19 85.00
20 86.00
21 88.00
22 86.00
23 88.00
24 88.00
25 87.00
26 89.00
27 88.12
28 88.00
29 86.00
30 86.00
31 89.00
32 84.00
33 84.00
34 87.00
35 85.00
36 84.00
37 84.16
38 85.00
39 85.00
40 82.00
41 85.00
42 84.00
43 83.00
44 79.00
45 82.00
46 81.00
47 82.00
48 80.00
49 78.00
50 81.00
51 86.00
52 81.00
53 83.00
54 84.00
55 81.00
56 82.00
57 81.00
58 81.19
59 81.00
60 79.00
61 80.00
62 81.00
63 79.00
64 80.00
65 81.00
66 81.00
67 80.00
68 84.00
69 82.00
