0 50.00
1 67.00
2 94.00
3 106.00
4 112.00
5 121.00
6 121.00
7 125.00
8 126.00
9 125.00
10 128.00
11 129.00
12 130.00
13 130.00
14 130.00
15 129.00
16 129.00
17 128.00
18 128.00
19 128.00
20 126.00
21 128.00
22 126.00
23 125.00
24 125.74
25 126.00
26 126.00
27 125.00
28 124.00
29 124.00
30 123.00
31 125.00
32 123.00
33 124.00
34 125.00
35 123.00
36 124.00
37 124.00
38 124.00
39 124.00
40 124.75
41 123.00
42 121.00
43 124.00
44 125.00
45 121.00
46 122.00
47 124.00
48 121.78
49 124.00
50 122.00
51 121.00
52 121.00
53 118.00
54 117.82
55 118.00
56 118.00
57 118.00
58 119.00
59 116.00
60 116.00
61 118.00
62 118.00
63 120.00
64 121.78
65 122.00
66 122.00
67 124.00
68 123.00
69 120.00
