server      rate     avg_ms  p95_ms  fail_pct  mem_mb
go-http     1531.46  6.36    11.68   0         20.1
go-gin      1462.52  6.67    12.35   0         23.9
go-fiber    1528.23  6.38    11.94   0         21.2
bun-http    1593.63  6.14    9.85    0         102.5
bun-hono    1489.54  6.57    10.74   0         108.8
rust-http   835.94   11.76   20.16   0         4.4
rust-actix  1148.06  8.56    15.35   0         9.2
rust-axum   1202.31  8.17    14.61   0         8.0
