0 114.00
1 114.00
2 110.00
3 97.00
4 91.00
5 77.00
6 78.00
7 74.00
8 70.00
9 70.00
10 67.00
11 67.00
12 63.00
13 65.00
14 67.00
15 63.00
16 60.00
17 59.00
18 56.44
19 58.00
20 56.00
21 59.00
22 56.00
23 54.00
24 57.00
25 55.00
26 54.00
27 55.00
28 54.00
29 52.00
30 53.00
31 56.00
32 31.68
33 41.00
34 51.00
35 56.00
36 54.00
37 55.00
38 56.00
39 55.00
40 56.00
41 56.00
42 58.00
43 56.00
44 54.00
45 58.00
46 59.00
47 58.00
48 61.00
49 59.00
50 56.00
51 58.00
52 59.00
53 55.00
54 57.43
55 60.00
56 58.00
57 59.00
58 59.00
59 56.00
60 57.00
61 59.00
62 60.00
63 57.00
64 61.00
65 58.00
66 55.00
67 58.00
68 57.00
69 72.00
