0 69.00
1 75.25
2 87.00
3 89.00
4 90.00
5 91.00
6 92.00
7 92.00
8 89.00
9 87.00
10 88.00
11 86.00
12 87.00
13 86.00
14 85.00
15 85.00
16 84.00
17 83.00
18 84.00
19 85.00
20 84.00
21 82.00
22 82.00
23 83.00
24 81.00
25 82.00
26 80.20
27 80.00
28 81.00
29 82.00
30 80.00
31 81.00
32 81.00
33 81.00
34 81.00
35 82.00
36 79.00
37 80.00
38 81.00
39 77.00
40 78.00
41 80.00
42 76.00
43 81.00
44 80.00
45 82.00
46 78.00
47 82.00
48 77.23
49 80.00
50 82.00
51 77.00
52 81.00
53 80.00
54 78.00
55 81.00
56 78.00
57 76.00
58 79.00
59 79.21
60 79.00
61 78.00
62 83.00
63 81.00
64 79.00
65 80.00
66 82.00
67 79.00
68 81.00
69 84.00
