0 73.00
1 86.00
2 88.00
3 84.00
4 84.00
5 86.00
6 84.00
7 86.00
8 85.00
9 86.14
10 85.00
11 85.00
12 85.00
13 84.00
14 85.00
15 86.00
16 85.00
17 84.00
18 85.00
19 84.00
20 85.00
21 85.00
22 86.00
23 81.00
24 85.00
25 84.00
26 85.00
27 84.00
28 83.00
29 83.00
30 85.00
31 82.18
32 84.00
33 84.00
34 83.00
35 80.00
36 82.00
37 82.00
38 83.00
39 83.00
40 84.00
41 83.00
42 82.00
43 83.00
44 84.16
45 80.00
46 84.00
47 84.00
48 83.00
49 83.00
50 84.00
51 84.00
52 83.00
53 83.00
54 85.00
55 82.00
56 81.00
57 85.00
58 84.00
59 83.00
