0 119.00
1 125.00
2 124.00
3 123.00
4 124.00
5 125.00
6 126.00
7 123.00
8 122.00
9 122.00
10 125.00
11 124.00
12 122.00
13 125.00
14 121.00
15 124.00
16 125.00
17 124.00
18 127.00
19 124.75
20 122.00
21 126.00
22 129.00
23 125.00
24 125.00
25 125.00
26 126.00
27 124.00
28 127.00
29 125.00
30 126.00
31 123.00
32 125.00
33 123.00
34 127.00
35 126.00
36 127.00
37 124.00
38 126.00
39 126.00
40 125.00
41 126.00
42 125.00
43 126.00
44 126.00
45 125.00
46 125.00
47 126.00
48 126.00
49 126.00
50 124.75
51 126.00
52 127.00
53 127.00
54 124.00
55 126.00
56 126.00
57 125.00
58 127.00
59 126.00
