0 120.00
1 128.00
2 126.00
3 125.74
4 129.00
5 129.00
6 129.00
7 131.00
8 126.00
9 129.00
10 126.00
11 130.00
12 126.00
13 131.00
14 123.00
15 129.00
16 126.00
17 123.00
18 125.00
19 123.00
20 124.00
21 127.00
22 126.00
23 128.00
24 125.00
25 124.00
26 127.00
27 125.00
28 125.00
29 126.00
30 123.00
31 124.75
32 126.00
33 125.00
34 131.00
35 124.00
36 126.00
37 127.00
38 124.00
39 124.00
40 126.00
41 127.00
42 127.00
43 127.00
44 127.00
45 127.00
46 130.00
47 128.00
48 123.00
49 129.00
50 127.00
51 128.00
52 128.00
53 131.00
54 125.00
55 125.00
56 123.76
57 126.00
58 125.00
59 128.00
