0 105.00
1 104.00
2 103.00
3 107.00
4 104.00
5 105.00
6 99.01
7 105.00
8 105.00
9 100.00
10 103.00
11 104.00
12 107.00
13 103.00
14 102.00
15 100.00
16 105.00
17 104.00
18 103.00
19 103.00
20 108.00
21 100.00
22 102.00
23 103.00
24 104.00
25 102.00
26 105.00
27 103.00
28 102.00
29 105.00
30 105.00
31 105.00
32 105.00
33 102.00
34 105.00
35 104.00
36 106.00
37 107.00
38 102.00
39 106.00
40 103.00
41 103.00
42 101.00
43 102.00
44 108.00
45 105.00
46 105.00
47 106.00
48 104.00
49 105.00
50 107.00
51 106.00
52 104.00
53 103.00
54 104.00
55 105.00
56 105.00
57 105.00
58 104.00
59 104.95
