0 93.00
1 92.00
2 97.00
3 94.00
4 94.06
5 93.00
6 88.00
7 94.00
8 93.00
9 96.00
10 97.00
11 97.00
12 93.00
13 100.00
14 94.00
15 96.00
16 98.00
17 95.00
18 97.00
19 98.00
20 97.00
21 95.00
22 93.00
23 96.00
24 90.00
25 98.00
26 92.08
27 94.00
28 90.00
29 92.00
30 97.00
31 97.00
32 95.00
33 96.00
34 97.00
35 94.00
36 98.00
37 99.00
38 96.00
39 97.00
40 97.00
41 98.00
42 99.00
43 98.00
44 99.00
45 95.00
46 99.00
47 95.00
48 96.00
49 98.00
50 98.00
51 98.00
52 101.00
53 99.00
54 99.00
55 98.00
56 99.00
57 97.00
58 100.00
59 94.00
