0 108.00
1 110.00
2 104.00
3 89.00
4 86.00
5 81.00
6 79.00
7 75.00
8 72.00
9 70.00
10 70.00
11 70.00
12 68.00
13 68.00
14 68.00
15 64.00
16 65.00
17 63.00
18 63.00
19 61.00
20 58.00
21 60.00
22 61.00
23 62.00
24 60.00
25 60.00
26 60.00
27 60.00
28 61.00
29 61.00
30 58.00
31 58.42
32 61.00
33 57.00
34 58.00
35 62.00
36 57.00
37 62.00
38 62.00
39 62.00
40 60.00
41 59.00
42 62.00
43 62.00
44 61.00
45 65.00
46 59.00
47 62.00
48 61.00
49 64.00
50 61.00
51 61.00
52 62.00
53 62.00
54 62.00
55 64.00
56 64.00
57 65.00
58 59.00
59 59.00
60 63.00
61 65.00
62 60.00
63 67.00
64 63.00
65 66.00
66 64.36
67 65.00
68 67.00
69 72.00
